Total_words: 101126 
Word	Word_Count
('Hours', 'per')	11	
('Solutions', 'Engineer')	11	
('C++', 'C')	11	
('code', 'reviews')	11	
('designed', 'indicate')	11	
('Search', 'Retail')	11	
('new', 'products')	11	
('Brazil', 'Canada')	11	
('Spain', 'Sweden')	11	
('System', 'Administrator')	11	
('Development', 'Operations')	11	
('China', 'Czech')	11	
('Antonio', 'TX')	11	
('performed', 'employees')	11	
('programming', 'Python')	11	
('knowledge', 'Unix')	11	
('Cubic', 'Corporation')	11	
('level', 'performed')	11	
('employee', 'assigned')	11	
('Assurance', 'Engineer')	11	
('Seoul', 'Shanghai')	11	
('nature', 'level')	11	
('responsibilities', 'qualifications')	11	
('News', 'Press')	11	
('designed', 'contain')	11	
('Sales', 'Specialist')	11	
('Malaysia', 'Mexico')	11	
('information', 'designed')	11	
('general', 'nature')	11	
('France', 'Germany')	11	
('wide', 'range')	11	
('growing', 'team')	11	
('security', 'management')	11	
('Bachelor', 'Degree')	11	
('operating', 'systems')	11	
('qualifications', 'required')	11	
('making', 'difference')	11	
('cloud', 'infrastructure')	11	
('physical', 'virtual')	11	
('indicate', 'general')	11	
('Science', 'Computer')	11	
('Submit', 'resume')	11	
('Data', 'Management')	11	
('Science', 'Engineering')	11	
('classification', 'designed')	11	
('Desired', 'Skills')	11	
('interpreted', 'comprehensive')	11	
('employees', 'classification')	11	
('2014', 'CIG')	11	
('inventory', 'duties')	11	
('design', 'develop')	11	
('contain', 'interpreted')	11	
('gender', 'identity')	11	
('new', 'opportunities')	11	
('Engineering', 'Computer')	11	
('Security', 'Clearance')	11	
('oriented', 'design')	11	
('comprehensive', 'inventory')	11	
('Thailand', 'Turkey')	11	
('use', 'cases')	11	
('Workforce', 'Solutions')	11	
('Talent', 'Acquisition')	11	
('Sao', 'Paulo')	11	
('E', 'mail')	11	
('required', 'field')	11	
('Corporation', 'Austin')	11	
('creative', 'solutions')	11	
('end', 'user')	11	
('distributed', 'systems')	11	
('BS', 'MS')	11	
('Self', 'motivated')	11	
('wide', 'variety')	11	
('team', 'player')	11	
('Employees', 'Action')	10	
('Data', 'Entry')	10	
('degree', 'preferred')	10	
('Argentina', 'Australia')	10	
('Support', 'Sales')	10	
('use', 'automated')	10	
('Consulting', 'Professional')	10	
('29', '2014')	10	
('hours', 'per')	10	
('Marketing', 'Merchandising')	10	
('30', '2014')	10	
('non', 'technical')	10	
('Austria', 'Belgium')	10	
('Taiwan', 'Thailand')	10	
('web', 'developer')	10	
('new', 'product')	10	
('Applicant', 'Tracking')	10	
('Dice', 'Dice')	10	
('BPS', 'Customer')	10	
('Operations', 'Engineering')	10	
('Studios', 'Austin')	10	
('like', 'Like')	10	
('working', 'knowledge')	10	
('Distrito', 'Federal')	10	
('Intern', 'Undergraduate')	10	
('Brazil', 'Remote')	10	
('Employment', 'Policy')	10	
('Sales', 'Management')	10	
('Filter', 'Mixes')	10	
('HRIM', 'Human')	10	
('Objective', 'C')	10	
('world', 'largest')	10	
('Porto', 'Alegre')	10	
('ZeniMax', 'ZeniMax')	10	
('Sales', 'Outside')	10	
('Au', 'endienst')	10	
('Comunidad', 'de')	10	
('Engineering', 'Test')	10	
('Islamabad', 'Istanbul')	10	
('ao', 'Cliente')	10	
('Sales', 'Channel')	10	
('looking', 'experienced')	10	
('MS', 'Computer')	10	
('virtualization', 'technologies')	10	
('Olin', 'Burrow')	10	
('Save', 'mix')	10	
('160', '160')	10	
('Paulo', 'Paulo')	10	
('architecture', 'design')	10	
('database', 'technologies')	10	
('operating', 'system')	10	
('Buenos', 'Aires')	10	
('high', 'volume')	10	
('Turkey', 'United')	10	
('Degree', 'Computer')	10	
('Apple', 'Apple')	10	
('development', 'teams')	10	
('Engineering', 'Electrical')	10	
('Development', 'Management')	10	
('media', 'formats')	10	
('Commodity', 'Management')	10	
('Amazon', 'Web')	10	
('diverse', 'environment')	10	
('list', 'Go')	10	
('week', '40')	10	
('Security', 'Systems')	10	
('within', 'team')	10	
('de', 'Suporte')	10	
('Engineering', 'Program')	10	
('data', 'sources')	10	
('times', 'Matching')	10	
('back', 'country')	10	
('Demand', 'Supply')	10	
('type', 'characters')	10	
('current', 'future')	10	
('Suporte', 'cnico')	10	
('fastest', 'growing')	10	
('designing', 'implementing')	10	
